Practice Name,lat,lon,display_address,Nation
McGarrity Dental Practice,53.9961421,-7.3595289,Cavan,Ireland
Church Street Dental & Implant Clinic,53.9945715,-7.359859,Cavan,Ireland
N Dental Clinic,53.9935852,-7.3594705,Cavan,Ireland
No.8 Clinic Cornmarket,52.6621306,-8.620725,Limerick,Ireland
Ballyconnell Dental Practice,54.1164722,-7.5833902,Cavan,Ireland
Truly Dental,53.3220499,-6.2369228,"Donnybrook, Dublin",Ireland
OsraÃ­ Paediatric Dentistry,52.6613997,-7.259923,"Freshford Road Kylemore Clinic, Kilkenny",Ireland
Joseph Mahon Dental,52.6613698,-7.2598951,"Freshford Road Kylemore Clinic, Kilkenny",Ireland
Roger's,52.3968503,-6.9447337,"Bridge Street, New Ross, Wexford",Ireland
Frank Ryan Family Dentist,53.274699,-7.4897163,Offaly,Ireland
Pearl Dental,53.2745047,-7.4901274,Offaly,Ireland
O'Connell Street Dental Clinic,52.2622186,-7.1148155,"38 O'Connell Street, Waterford",Ireland
Waterford Orthordontic Practice,52.2619046,-7.1143183,"O'Connell Street, Waterford",Ireland
The Meath Dental Clinic,53.3360325,-6.2691106,"8 Heytesbury Street, Dublin, D08 HX97",Ireland
Emi-Dent Dental Clinic,52.8408079,-8.9846438,Clare,Ireland
Ennis Dental Health Care,52.8438593,-8.9870747,Clare,Ireland
Counihan Dental Practice,52.8451814,-8.984762,Clare,Ireland
Delaney's Dental Practice,53.2708835,-7.4965471,Offaly,Ireland
Friary Dental Clinic,52.8455426,-8.9784459,Clare,Ireland
Prime Dental,52.3414954,-6.4646248,"Selskar Avenue, Wexford",Ireland
Donnybrook Dental,53.3233731,-6.2383556,"114 Morehampton Road, Dublin",Ireland
Bridge Dental,52.676449,-6.2854173,"Coach Road, Gorey, Wexford",Ireland
Kenneally Dental Practice,51.8879149,-8.5928706,Cork,Ireland
Dr. Barry Hillery Dental Surgey,52.8350006,-8.9819143,Clare,Ireland
Galway Dental Clinic,53.271691,-9.0554765,"11A Bridge Street, Galway, H91 D5K2",Ireland
Cuddy Dental,53.2716291,-9.0554498,"12 Bridge Street, Galway",Ireland
Ennis Orthodontic Practice,52.8312385,-8.9979271,Clare,Ireland
Park Orthodontics,52.2582841,-7.1034891,"William Street, Waterford",Ireland
Christie Dental,52.258086,-7.1025099,"Unit 3 Canada Street, Waterford",Ireland
Foley's,52.4544253,-9.0494131,Limerick,Ireland
McHugh House Dental Surgery,51.8981466,-8.4757059,Cork,Ireland
Daragh Fagan Dental Surgery,53.3729034,-6.2221989,"Malahide Road, Dublin",Ireland
